406,How the Grinch Stole Christmas,345.1,2000
941,How to Lose a Guy in 10 Days,177.5,2003
216,How to Train Your Dragon,494.9,2010
154,How to Train Your Dragon 2,621.5,2014
205,How to Train Your Dragon The Hidden World,521.8,2019
663,Howl's Moving Castle,236.2,2004
885,Hugo,185.8,2011
633,Hulk,245.3,2003
169,I Am Legend,585.4,2007
875,I Now Pronounce You Chuck & Larry,187.1,2007
382,I Robot,353.1,2004
326,Ice Age,383.3,2002
298,Ice Age Collision Course,408.6,2016
69,Ice Age Continental Drift,877.2,2012
65,Ice Age Dawn of the Dinosaurs,886.7,2009
134,Ice Age The Meltdown,667.1,2006
962,Identity Thief,174.0,2013
699,Immortals,226.9,2011
950,In the Line of Fire,177.0,1993
965,In Time,173.9,2011
80,Inception,829.9,2010
18,Incredibles 2,1242.8,2018
569,Indecent Proposal,266.6,1993
84,Independence Day,817.4,1996
317,Independence Day Resurgence,389.7,2016
94,Indiana Jones and the Kingdom of the Crystal Skull,790.7,2008
234,Indiana Jones and the Last Crusade,474.3,1989
425,Indiana Jones and the Temple of Doom,333.1,1984
723,Inferno,220.0,2016
448,Inglourious Basterds,321.5,2009
883,Inside Man,186.0,2006
76,Inside Out,857.6,2015
505,Insurgent,297.0,2015
131,Interstellar,677.5,2014
711,Interview with the Vampire The Vampire Chronicles,223.7,1994
761,Into the Woods,212.9,2014
170,Iron Man,585.4,2008
151,Iron Man 2,623.9,2010
20,Iron Man 3,1214.8,2013
122,It,701.8,2017
236,It Chapter Two,473.1,2019
727,It's Complicated,219.1,2009
731,Jack Reacher,218.3,2012
832,Jack the Giant Slayer,197.7,2013
982,Jackass 3D,171.7,2010
289,Jason Bourne,415.5,2016
238,Jaws,471.2,1975
870,Jaws 2,187.9,1978
553,Jerry Maguire,273.6,1996
796,JFK,205.4,1991
879,Jian Bing Man,186.7,2015
535,John Carter,284.1,2012
985,John Wick Chapter 2,171.5,2017
438,John Wick Chapter 3 - Parabellum,326.7,2019
31,Joker,1074.3,2019
419,Journey 2 The Mysterious Island,335.3,2012
640,Journey to the Center of the Earth,244.2,2008
795,Journey to the West,205.6,2013
621,Journey to the West The Demons Strike Back,247.6,2017
577,Jumanji,262.8,1995
88,Jumanji The Next Level,796.6,2019
52,Jumanji Welcome to the Jungle,962.1,2017
707,Jumper,225.1,2008
676,Juno,232.4,2007
893,Jupiter Ascending,183.9,2015
40,Jurassic Park,1032.0,1993
352,Jurassic Park III,368.8,2001
6,Jurassic World,1670.4,2015
15,Jurassic World Fallen Kingdom,1308.5,2018
750,Just Go with It,214.9,2011
137,Justice League,657.9,2017
914,Kill Bill Vol. 1,180.9,2003
813,Kindergarten Cop,202.0,1990
801,King Arthur,203.6,2004
177,King Kong,562.4,2005
732,Kingdom of Heaven,218.1,2005
296,Kingsman The Golden Circle,410.9,2017
291,Kingsman The Secret Service,414.4,2015
580,Knight and Day,262.0,2008
466,Knives Out,311.6,2019
724,Knocked Up,219.9,2007
894,Knowing,183.7,2007
175,Kong Skull Island,566.7,2017
145,Kung Fu Panda,631.7,2008
135,Kung Fu Panda 2,665.7,2011
207,Kung Fu Panda 3,521.2,2016
591,Kung Fu Yoga,257.7,2017
259,La La Land,446.2,2016
547,Lara Croft Tomb Raider,274.7,2001
945,Lee Daniels' The Butler,177.3,2013
773,Lemony Snicket's A Series of Unfortunate Events,211.5,2004
264,Les Misérables,441.8,2012
694,Lethal Weapon 2,227.9,1989
445,Lethal Weapon 3,321.7,1992
534,Lethal Weapon 4,285.4,1998
488,Liar Liar,302.7,1997
685,Life Is Beautiful,230.1,1998
160,Life of Pi,609.0,2012
555,Lilo & Stitch,273.1,2002
546,Lincoln,275.3,2012
468,Little Fockers,310.7,2010
790,Little Women,206.0,2019
319,Live Free or Die Hard,388.2,2007
155,Logan,619.0,2017
792,London Has Fallen,205.8,2016
506,Look Who's Talking,297.0,1989
952,Looper,176.5,2012
594,Lost in Hong Kong,256.3,2015
830,Lost in Thailand,197.8,2012
636,Love Actually,244.9,2003
249,Lucy,458.9,2014
335,Mad Max Fury Road,375.2,2015
192,Madagascar,542.1,2005
107,Madagascar 3 Europe's Most Wanted,746.9,2012
162,Madagascar Escape 2 Africa,603.9,2008
103,Maleficent,758.4,2014
220,Maleficent Mistress of Evil,491.7,2019
159,Mamma Mia!,609.9,2008
311,Mamma Mia! Here We Go Again,395.0,2018
133,Man of Steel,668.0,2013
597,Marley & Me,255.7,2008
395,Mary Poppins Returns,349.5,2018
772,Master and Commander The Far Side of the World,211.6,2003
900,Maverick,183.0,1994
527,Maze Runner The Death Cure,288.2,2018
462,Maze Runner The Scorch Trials,312.3,2015
782,Me Before You,208.3,2016
204,Meet the Fockers,522.7,2004
429,Meet the Parents,330.4,2000
444,Megamind,321.9,2010
166,Men in Black,589.4,1997
150,Men in Black 3,624.0,2012
260,Men in Black II,445.1,2002
605,Men in Black International,253.9,2019
737,Million Dollar Baby,216.8,2004
21,Minions,1159.4,2015
374,Minority Report,358.4,2002
901,Mirror Mirror,183.0,2012
763,Miss Congeniality,212.7,2000
508,Miss Peregrine's Home for Peculiar Children,296.5,2016
250,Mission Impossible,457.7,1996
93,Mission Impossible - Fallout,791.1,2018
125,Mission Impossible - Ghost Protocol,694.7,2011
128,Mission Impossible - Rogue Nation,682.7,2015
186,Mission Impossible II,546.4,2000
308,Mission Impossible III,398.5,2005
127,Moana,690.8,2016
320,Monster Hunt,387.1,2015
368,Monster Hunt 2,361.7,2018
111,Monsters University,743.6,2013
328,Monsters vs. Aliens,381.5,2009
144,Monsters Inc.,632.3,2001
776,Moonraker,210.3,1979
889,Moulin Rouge!,184.9,2001
222,Mr. & Mrs. Smith,487.3,2005
678,Mr. Bean's Holiday,232.2,2007
988,Mr. Deeds,171.3,2002
544,Mr. Peabody & Sherman,275.7,2014
873,Mr. Popper's Penguins,187.4,2011
266,Mrs. Doubtfire,441.3,1993
484,Mulan,304.3,1998
384,Murder on the Orient Express,352.8,2017
